timestamp,variable,level,value
2026-06-11 06:31:00,temperature,warning,114.0
2026-06-11 06:32:00,temperature,warning,134.0
2026-06-11 06:33:00,temperature,critical,160.0
2026-06-11 06:34:00,temperature,critical,142.0
2026-06-11 06:35:00,temperature,warning,127.0
2026-06-11 06:36:00,temperature,warning,107.0
2026-06-11 06:40:00,pressure,warning,4.32
2026-06-11 06:41:00,pressure,warning,4.57
2026-06-11 06:42:00,pressure,warning,4.95
2026-06-11 06:43:00,pressure,warning,4.92
2026-06-11 06:44:00,pressure,warning,4.59
2026-06-11 06:45:00,pressure,warning,4.07
2026-06-11 07:32:00,pressure,warning,4.09
2026-06-11 07:33:00,temperature,warning,115.0
2026-06-11 07:33:00,pressure,warning,4.26
2026-06-11 07:34:00,temperature,critical,143.0
2026-06-11 07:34:00,pressure,warning,4.55
2026-06-11 07:35:00,temperature,warning,131.0
2026-06-11 07:35:00,pressure,warning,4.92
2026-06-11 07:36:00,temperature,warning,114.0
2026-06-11 07:36:00,pressure,warning,5.09
2026-06-11 07:37:00,pressure,warning,5.1
2026-06-11 07:38:00,pressure,warning,5.39
2026-06-11 07:39:00,pressure,warning,5.48
2026-06-11 07:40:00,pressure,warning,5.57
2026-06-11 07:41:00,pressure,warning,5.68
2026-06-11 07:42:00,pressure,warning,5.97
2026-06-11 07:43:00,pressure,critical,6.26
2026-06-11 07:44:00,pressure,warning,5.66
2026-06-11 07:45:00,pressure,warning,5.32
2026-06-11 07:46:00,pressure,warning,5.16
2026-06-11 07:47:00,pressure,warning,4.96
2026-06-11 07:48:00,pressure,warning,4.38
2026-06-11 08:33:00,temperature,warning,102.0
2026-06-11 08:34:00,temperature,warning,122.0
2026-06-11 08:35:00,temperature,critical,143.0
2026-06-11 08:36:00,temperature,warning,124.0
2026-06-11 08:37:00,temperature,warning,111.0
